Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:12:04.943000,LEC,16,0 days 00:01:32.805000,4.0,1.0,,,0 days 00:00:23.218000,0 days 00:00:28.208000,0 days 00:00:41.379000,0 days 00:10:55.356000,0 days 00:11:23.564000,0 days 00:12:04.943000,116.0,285.0,298.0,330.0,True,ULTRASOFT,4.0,True,Sauber,0 days 00:10:32.138000,2018-06-23 14:06:32.204,,,False,,False,False
0 days 00:15:25.926000,LEC,16,,5.0,1.0,,0 days 00:13:46.310000,0 days 00:00:26.140000,0 days 00:00:31.303000,,0 days 00:12:31.081000,0 days 00:13:02.388000,,113.0,259.0,,302.0,False,ULTRASOFT,5.0,True,Sauber,0 days 00:12:04.943000,2018-06-23 14:08:05.009,,,False,,False,False
0 days 00:17:22.469000,LEC,16,0 days 00:01:56.543000,6.0,2.0,0 days 00:15:26.598000,,0 days 00:00:31.171000,0 days 00:00:31.630000,0 days 00:00:53.742000,0 days 00:15:57.097000,0 days 00:16:28.727000,0 days 00:17:22.469000,108.0,273.0,298.0,264.0,False,ULTRASOFT,1.0,True,Sauber,0 days 00:15:25.926000,2018-06-23 14:11:25.992,,,False,,False,False
0 days 00:19:06.431000,LEC,16,0 days 00:01:43.962000,7.0,2.0,,,0 days 00:00:22.982000,0 days 00:00:29.936000,0 days 00:00:51.044000,0 days 00:17:45.451000,0 days 00:18:15.387000,0 days 00:19:06.431000,116.0,250.0,254.0,325.0,False,ULTRASOFT,2.0,True,Sauber,0 days 00:17:22.469000,2018-06-23 14:13:22.535,,,False,,False,False
0 days 00:21:03.351000,LEC,16,0 days 00:01:56.920000,8.0,2.0,,,0 days 00:00:29.018000,0 days 00:00:36.487000,0 days 00:00:51.415000,0 days 00:19:35.449000,0 days 00:20:11.936000,0 days 00:21:03.351000,96.0,248.0,298.0,199.0,False,ULTRASOFT,3.0,True,Sauber,0 days 00:19:06.431000,2018-06-23 14:15:06.497,,,False,,False,False
0 days 00:22:35.889000,LEC,16,0 days 00:01:32.538000,9.0,2.0,,,0 days 00:00:22.992000,0 days 00:00:28.293000,0 days 00:00:41.253000,0 days 00:21:26.343000,0 days 00:21:54.636000,0 days 00:22:35.889000,117.0,283.0,297.0,325.0,True,ULTRASOFT,4.0,True,Sauber,0 days 00:21:03.351000,2018-06-23 14:17:03.417,,,False,,False,False
0 days 00:29:19.390000,LEC,16,,10.0,2.0,,0 days 00:24:28.307000,0 days 00:00:28.871000,0 days 00:00:36.231000,,0 days 00:23:04.757000,0 days 00:23:40.977000,,91.0,249.0,,236.0,False,ULTRASOFT,5.0,True,Sauber,0 days 00:22:35.889000,2018-06-23 14:18:35.955,,,False,,False,False
0 days 00:31:13.970000,LEC,16,0 days 00:01:54.580000,11.0,3.0,0 days 00:29:20.073000,,0 days 00:00:33.603000,0 days 00:00:31.541000,0 days 00:00:49.436000,0 days 00:29:52.993000,0 days 00:30:24.534000,0 days 00:31:13.970000,98.0,275.0,300.0,298.0,False,ULTRASOFT,1.0,True,Sauber,0 days 00:29:19.390000,2018-06-23 14:25:19.456,,,False,,False,False
0 days 00:32:46.934000,LEC,16,0 days 00:01:32.964000,12.0,3.0,,,0 days 00:00:23.208000,0 days 00:00:28.346000,0 days 00:00:41.410000,0 days 00:31:37.178000,0 days 00:32:05.524000,0 days 00:32:46.934000,114.0,286.0,300.0,331.0,True,ULTRASOFT,2.0,True,Sauber,0 days 00:31:13.970000,2018-06-23 14:27:14.036,,,False,,False,False
0 days 00:34:47.040000,LEC,16,0 days 00:02:00.106000,13.0,3.0,,,0 days 00:00:31.158000,0 days 00:00:36.867000,0 days 00:00:52.081000,0 days 00:33:18.092000,0 days 00:33:54.959000,0 days 00:34:47.040000,85.0,251.0,298.0,230.0,False,ULTRASOFT,3.0,True,Sauber,0 days 00:32:46.934000,2018-06-23 14:28:47.000,,,False,,False,False
