Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:46:00.697000,ALO,14,0 days 00:01:16.961000,38.0,2.0,,,0 days 00:00:18.423000,0 days 00:00:34.989000,0 days 00:00:23.549000,0 days 01:45:02.229000,0 days 01:45:37.218000,0 days 01:46:00.767000,275.0,202.0,282.0,286.0,False,SOFT,14.0,True,Aston Martin,0 days 01:44:43.736000,2026-06-28 13:50:55.812,1,19.0,False,,False,True
0 days 01:47:15.404000,ALO,14,0 days 00:01:14.707000,39.0,2.0,,,0 days 00:00:17.851000,0 days 00:00:33.542000,0 days 00:00:23.314000,0 days 01:46:18.618000,0 days 01:46:52.160000,0 days 01:47:15.474000,313.0,201.0,279.0,293.0,False,SOFT,15.0,True,Aston Martin,0 days 01:46:00.697000,2026-06-28 13:52:12.773,1,19.0,False,,False,True
0 days 01:48:30.787000,ALO,14,0 days 00:01:15.383000,40.0,2.0,,,0 days 00:00:18.439000,0 days 00:00:33.949000,0 days 00:00:22.995000,0 days 01:47:33.913000,0 days 01:48:07.862000,0 days 01:48:30.857000,242.0,201.0,282.0,292.0,False,SOFT,16.0,True,Aston Martin,0 days 01:47:15.404000,2026-06-28 13:53:27.480,1,19.0,False,,False,True
0 days 01:49:45.783000,ALO,14,0 days 00:01:14.996000,41.0,2.0,,,0 days 00:00:17.733000,0 days 00:00:33.852000,0 days 00:00:23.411000,0 days 01:48:48.590000,0 days 01:49:22.442000,0 days 01:49:45.853000,311.0,202.0,282.0,292.0,False,SOFT,17.0,True,Aston Martin,0 days 01:48:30.787000,2026-06-28 13:54:42.863,1,19.0,False,,False,True
0 days 01:51:00.700000,ALO,14,0 days 00:01:14.917000,42.0,2.0,,,0 days 00:00:17.842000,0 days 00:00:33.868000,0 days 00:00:23.207000,0 days 01:50:03.695000,0 days 01:50:37.563000,0 days 01:51:00.770000,314.0,201.0,280.0,287.0,False,SOFT,18.0,True,Aston Martin,0 days 01:49:45.783000,2026-06-28 13:55:57.859,1,19.0,False,,False,True
0 days 01:52:15.276000,ALO,14,0 days 00:01:14.576000,43.0,2.0,,,0 days 00:00:17.766000,0 days 00:00:33.612000,0 days 00:00:23.198000,0 days 01:51:18.536000,0 days 01:51:52.148000,0 days 01:52:15.346000,310.0,200.0,280.0,284.0,False,SOFT,19.0,True,Aston Martin,0 days 01:51:00.700000,2026-06-28 13:57:12.776,1,19.0,False,,False,True
0 days 01:53:29.817000,ALO,14,0 days 00:01:14.541000,44.0,2.0,,,0 days 00:00:17.775000,0 days 00:00:33.614000,0 days 00:00:23.152000,0 days 01:52:33.121000,0 days 01:53:06.735000,0 days 01:53:29.887000,310.0,201.0,280.0,284.0,False,SOFT,20.0,True,Aston Martin,0 days 01:52:15.276000,2026-06-28 13:58:27.352,1,19.0,False,,False,True
0 days 01:54:44.560000,ALO,14,0 days 00:01:14.743000,45.0,2.0,,,0 days 00:00:17.736000,0 days 00:00:33.843000,0 days 00:00:23.164000,0 days 01:53:47.623000,0 days 01:54:21.466000,0 days 01:54:44.630000,298.0,200.0,277.0,277.0,False,SOFT,21.0,True,Aston Martin,0 days 01:53:29.817000,2026-06-28 13:59:41.893,1,18.0,False,,False,True
0 days 01:55:59.489000,ALO,14,0 days 00:01:14.929000,46.0,2.0,,,0 days 00:00:18.135000,0 days 00:00:33.655000,0 days 00:00:23.139000,0 days 01:55:02.765000,0 days 01:55:36.420000,0 days 01:55:59.559000,287.0,200.0,273.0,281.0,False,SOFT,22.0,True,Aston Martin,0 days 01:54:44.560000,2026-06-28 14:00:56.636,1,18.0,False,,False,True
0 days 01:57:14.622000,ALO,14,0 days 00:01:15.133000,47.0,2.0,,,0 days 00:00:18.248000,0 days 00:00:33.573000,0 days 00:00:23.312000,0 days 01:56:17.807000,0 days 01:56:51.380000,0 days 01:57:14.692000,291.0,201.0,276.0,278.0,False,SOFT,23.0,True,Aston Martin,0 days 01:55:59.489000,2026-06-28 14:02:11.565,1,18.0,False,,False,True
0 days 01:58:31.717000,ALO,14,0 days 00:01:17.095000,48.0,2.0,,,0 days 00:00:18.362000,0 days 00:00:34.836000,0 days 00:00:23.897000,0 days 01:57:33.054000,0 days 01:58:07.890000,0 days 01:58:31.787000,283.0,205.0,279.0,295.0,False,SOFT,24.0,True,Aston Martin,0 days 01:57:14.622000,2026-06-28 14:03:26.698,1,18.0,False,,False,True
0 days 01:59:51.931000,ALO,14,0 days 00:01:20.214000,49.0,2.0,,0 days 01:59:48.137000,0 days 00:00:17.895000,0 days 00:00:33.700000,0 days 00:00:28.619000,0 days 01:58:49.682000,0 days 01:59:23.382000,0 days 01:59:52.001000,314.0,199.0,,285.0,False,SOFT,25.0,True,Aston Martin,0 days 01:58:31.717000,2026-06-28 14:04:43.793,1,18.0,False,,False,False
0 days 02:01:40.416000,ALO,14,0 days 00:01:48.485000,50.0,3.0,0 days 02:00:17.016000,,0 days 00:00:42.111000,0 days 00:00:39.735000,0 days 00:00:26.639000,0 days 02:00:34.112000,0 days 02:01:13.847000,0 days 02:01:40.486000,286.0,151.0,265.0,303.0,False,SOFT,1.0,True,Aston Martin,0 days 01:59:51.931000,2026-06-28 14:06:04.007,167,18.0,False,,False,False
0 days 02:02:54.769000,ALO,14,0 days 00:01:14.353000,51.0,3.0,,,0 days 00:00:18.286000,0 days 00:00:33.507000,0 days 00:00:22.560000,0 days 02:01:58.772000,0 days 02:02:32.279000,0 days 02:02:54.839000,287.0,206.0,284.0,291.0,False,SOFT,2.0,True,Aston Martin,0 days 02:01:40.416000,2026-06-28 14:07:52.492,1,18.0,False,,False,True
0 days 02:04:07.270000,ALO,14,0 days 00:01:12.501000,52.0,3.0,,,0 days 00:00:17.427000,0 days 00:00:32.696000,0 days 00:00:22.378000,0 days 02:03:12.266000,0 days 02:03:44.962000,0 days 02:04:07.340000,312.0,205.0,283.0,290.0,True,SOFT,3.0,True,Aston Martin,0 days 02:02:54.769000,2026-06-28 14:09:06.845,1,18.0,False,,False,True
0 days 02:05:20.208000,ALO,14,0 days 00:01:12.938000,53.0,3.0,,,0 days 00:00:17.579000,0 days 00:00:32.751000,0 days 00:00:22.608000,0 days 02:04:24.919000,0 days 02:04:57.670000,0 days 02:05:20.278000,303.0,203.0,280.0,286.0,False,SOFT,4.0,True,Aston Martin,0 days 02:04:07.270000,2026-06-28 14:10:19.346,1,18.0,False,,False,True
0 days 02:06:33.592000,ALO,14,0 days 00:01:13.384000,54.0,3.0,,,0 days 00:00:17.808000,0 days 00:00:33.009000,0 days 00:00:22.567000,0 days 02:05:38.086000,0 days 02:06:11.095000,0 days 02:06:33.662000,289.0,204.0,280.0,283.0,False,SOFT,5.0,True,Aston Martin,0 days 02:05:20.208000,2026-06-28 14:11:32.284,1,18.0,False,,False,True
0 days 02:07:47.071000,ALO,14,0 days 00:01:13.479000,55.0,3.0,,,0 days 00:00:17.781000,0 days 00:00:32.998000,0 days 00:00:22.700000,0 days 02:06:51.443000,0 days 02:07:24.441000,0 days 02:07:47.141000,293.0,204.0,280.0,283.0,False,SOFT,6.0,True,Aston Martin,0 days 02:06:33.592000,2026-06-28 14:12:45.668,1,18.0,False,,False,True
